,TBL,TMS,DFY
1990-01-01,,,0.95
1990-01-02,7.58,0.36,0.95
1990-01-03,7.63,0.36,0.95
1990-01-04,7.59,0.39,0.95
1990-01-05,7.54,0.45,0.95
1990-01-08,7.54,0.48,0.95
1990-01-09,7.55,0.47,0.95
1990-01-10,7.5,0.53,0.95
1990-01-11,7.55,0.49,0.95
1990-01-12,7.5,0.6,0.95
1990-01-15,7.5,0.6,0.95
1990-01-16,7.63,0.57,0.95
1990-01-17,7.71,0.48,0.95
1990-01-18,7.78,0.54,0.95
1990-01-19,7.74,0.52,0.95
1990-01-22,7.73,0.54,0.95
1990-01-23,7.67,0.59,0.95
1990-01-24,7.67,0.71,0.95
1990-01-25,7.69,0.73,0.95
1990-01-26,7.68,0.81,0.95
1990-01-29,7.74,0.76,0.95
1990-01-30,7.74,0.77,0.95
1990-01-31,7.74,0.69,0.95
1990-02-01,7.76,0.66,0.92
1990-02-02,7.81,0.69,0.92
1990-02-05,7.82,0.71,0.92
1990-02-06,7.82,0.75,0.92
1990-02-07,7.81,0.71,0.92
1990-02-08,7.81,0.68,0.92
1990-02-09,7.76,0.55,0.92
1990-02-12,7.73,0.67,0.92
1990-02-13,7.58,0.77,0.92
1990-02-14,7.61,0.75,0.92
1990-02-15,7.71,0.72,0.92
1990-02-16,7.69,0.73,0.92
1990-02-19,7.69,0.73,0.92
1990-02-20,7.8,0.82,0.92
1990-02-21,7.75,0.87,0.92
1990-02-22,7.73,0.81,0.92
1990-02-23,7.68,0.85,0.92
1990-02-26,7.71,0.75,0.92
1990-02-27,7.73,0.68,0.92
1990-02-28,7.77,0.74,0.92
1990-03-01,7.81,0.78,0.84
1990-03-02,7.76,0.78,0.84
1990-03-05,7.82,0.83,0.84
1990-03-06,7.9,0.69,0.84
1990-03-07,7.91,0.67,0.84
1990-03-08,7.91,0.66,0.84
1990-03-09,7.99,0.66,0.84
1990-03-12,7.99,0.64,0.84
1990-03-13,7.98,0.75,0.84
1990-03-14,7.95,0.7,0.84
1990-03-15,7.94,0.72,0.84
1990-03-16,7.92,0.67,0.84
1990-03-19,7.94,0.65,0.84
1990-03-20,7.97,0.57,0.84
1990-03-21,7.95,0.6,0.84
1990-03-22,7.9,0.63,0.84
1990-03-23,7.88,0.64,0.84
1990-03-26,7.86,0.65,0.84
1990-03-27,7.9,0.62,0.84
1990-03-28,7.85,0.66,0.84
1990-03-29,7.83,0.77,0.84
1990-03-30,7.8,0.85,0.84
1990-04-01,7.8,0.85,0.84
1990-04-02,7.78,0.87,0.84
1990-04-03,7.82,0.81,0.84
1990-04-04,7.75,0.8,0.84
1990-04-05,7.76,0.81,0.84
1990-04-06,7.76,0.8,0.84
1990-04-09,7.82,0.77,0.84
1990-04-10,7.78,0.82,0.84
1990-04-11,7.76,0.87,0.84
1990-04-12,7.76,0.88,0.84
1990-04-13,7.76,0.88,0.84
1990-04-16,7.74,0.94,0.84
1990-04-17,7.76,1.01,0.84
1990-04-18,7.81,1.05,0.84
1990-04-19,7.79,1.08,0.84
1990-04-20,7.69,1.26,0.84
1990-04-23,7.73,1.25,0.84
1990-04-24,7.76,1.24,0.84
1990-04-25,7.79,1.22,0.84
1990-04-26,7.82,1.25,0.84
1990-04-27,7.79,1.27,0.84
1990-04-30,7.79,1.25,0.84
1990-05-01,7.92,1.16,0.94
1990-05-02,7.9,1.19,0.94
1990-05-03,7.88,1.16,0.94
1990-05-04,7.76,1.08,0.94
1990-05-07,7.82,1.05,0.94
1990-05-08,7.79,1.05,0.94
1990-05-09,7.75,1.13,0.94
1990-05-10,7.71,1.11,0.94
1990-05-11,7.62,1.02,0.94
1990-05-14,7.63,0.98,0.94
1990-05-15,7.65,1.0,0.94
1990-05-16,7.67,1.01,0.94
1990-05-17,7.67,1.02,0.94
1990-05-18,7.75,1.0,0.94
1990-05-21,7.75,0.99,0.94
1990-05-22,7.73,0.92,0.94
1990-05-23,7.65,0.96,0.94
1990-05-24,7.69,0.94,0.94
1990-05-25,7.75,0.94,0.94
1990-05-28,7.75,0.94,0.94
1990-05-29,7.75,0.91,0.94
1990-05-30,7.76,0.86,0.94
1990-05-31,7.75,0.85,0.94
1990-06-01,7.68,0.76,0.96
1990-06-04,7.7,0.74,0.96
1990-06-05,7.7,0.77,0.96
1990-06-06,7.7,0.76,0.96
1990-06-07,7.7,0.76,0.96
1990-06-08,7.7,0.76,0.96
1990-06-11,7.73,0.75,0.96
1990-06-12,7.73,0.75,0.96
1990-06-13,7.67,0.73,0.96
1990-06-14,7.66,0.72,0.96
1990-06-15,7.69,0.77,0.96
1990-06-18,7.67,0.83,0.96
1990-06-19,7.74,0.77,0.96
1990-06-20,7.76,0.79,0.96
1990-06-21,7.77,0.75,0.96
1990-06-22,7.78,0.73,0.96
1990-06-25,7.79,0.79,0.96
1990-06-26,7.8,0.76,0.96
1990-06-27,7.78,0.74,0.96
1990-06-28,7.74,0.73,0.96
1990-06-29,7.74,0.69,0.96
1990-07-01,7.74,0.69,0.96
1990-07-02,7.74,0.69,0.96
1990-07-03,7.7,0.7,0.96
1990-07-04,7.7,0.7,0.96
1990-07-05,7.66,0.76,0.96
1990-07-06,7.75,0.76,0.96
1990-07-09,7.8,0.77,0.96
1990-07-10,7.8,0.77,0.96
1990-07-11,7.78,0.79,0.96
1990-07-12,7.68,0.82,0.96
1990-07-13,7.6,0.85,0.96
1990-07-16,7.61,0.83,0.96
1990-07-17,7.61,0.83,0.96
1990-07-18,7.55,0.95,0.96
1990-07-19,7.54,0.97,0.96
1990-07-20,7.54,0.94,0.96
1990-07-23,7.48,1.0,0.96
1990-07-24,7.53,1.0,0.96
1990-07-25,7.56,0.93,0.96
1990-07-26,7.58,0.91,0.96
1990-07-27,7.52,0.9,0.96
1990-07-30,7.5,0.84,0.96
1990-07-31,7.49,0.87,0.96
1990-08-01,7.42,0.87,1.0
1990-08-02,7.43,0.98,1.0
1990-08-03,7.29,1.14,1.0
1990-08-06,7.3,1.41,1.0
1990-08-07,7.37,1.41,1.0
1990-08-08,7.38,1.39,1.0
1990-08-09,7.41,1.25,1.0
1990-08-10,7.4,1.28,1.0
1990-08-13,7.42,1.29,1.0
1990-08-14,7.43,1.23,1.0
1990-08-15,7.45,1.19,1.0
1990-08-16,7.48,1.28,1.0
1990-08-17,7.47,1.33,1.0
1990-08-20,7.52,1.29,1.0
1990-08-21,7.57,1.27,1.0
1990-08-22,7.59,1.32,1.0
1990-08-23,7.54,1.46,1.0
1990-08-24,7.49,1.56,1.0
1990-08-27,7.53,1.37,1.0
1990-08-28,7.48,1.46,1.0
1990-08-29,7.47,1.37,1.0
1990-08-30,7.45,1.41,1.0
1990-08-31,7.39,1.47,1.0
1990-09-01,7.39,1.47,1.08
1990-09-03,7.39,1.47,1.08
1990-09-04,7.39,1.51,1.08
1990-09-05,7.37,1.49,1.08
1990-09-06,7.38,1.46,1.08
1990-09-07,7.39,1.42,1.08
1990-09-10,7.43,1.42,1.08
1990-09-11,7.42,1.41,1.08
1990-09-12,7.37,1.45,1.08
1990-09-13,7.35,1.47,1.08
1990-09-14,7.35,1.52,1.08
1990-09-17,7.37,1.53,1.08
1990-09-18,7.37,1.53,1.08
1990-09-19,7.39,1.49,1.08
1990-09-20,7.39,1.52,1.08
1990-09-21,7.36,1.63,1.08
1990-09-24,7.38,1.66,1.08
1990-09-25,7.35,1.67,1.08
1990-09-26,7.33,1.67,1.08
1990-09-27,7.23,1.68,1.08
1990-09-28,7.14,1.68,1.08
1990-10-01,7.13,1.58,1.21
1990-10-02,7.18,1.51,1.21
1990-10-03,7.15,1.56,1.21
1990-10-04,7.13,1.54,1.21
1990-10-05,7.04,1.61,1.21
1990-10-08,7.04,1.61,1.21
1990-10-09,7.17,1.66,1.21
1990-10-10,7.2,1.69,1.21
1990-10-11,7.12,1.8,1.21
1990-10-12,7.14,1.7,1.21
1990-10-15,7.16,1.64,1.21
1990-10-16,7.16,1.63,1.21
1990-10-17,7.2,1.56,1.21
1990-10-18,7.25,1.46,1.21
1990-10-19,7.25,1.37,1.21
1990-10-22,7.23,1.4,1.21
1990-10-23,7.21,1.44,1.21
1990-10-24,7.22,1.44,1.21
1990-10-25,7.18,1.44,1.21
1990-10-26,7.13,1.5,1.21
1990-10-29,7.15,1.55,1.21
1990-10-30,7.14,1.56,1.21
1990-10-31,7.11,1.54,1.21
1990-11-01,7.05,1.52,1.32
1990-11-02,7.08,1.49,1.32
1990-11-05,7.08,1.42,1.32
1990-11-06,7.08,1.44,1.32
1990-11-07,7.09,1.48,1.32
1990-11-08,7.09,1.49,1.32
1990-11-09,7.05,1.44,1.32
1990-11-12,7.05,1.44,1.32
1990-11-13,7.04,1.33,1.32
1990-11-14,7.07,1.29,1.32
1990-11-15,7.09,1.28,1.32
1990-11-16,7.08,1.22,1.32
1990-11-19,7.1,1.25,1.32
1990-11-20,7.09,1.22,1.32
1990-11-21,7.04,1.23,1.32
1990-11-22,7.04,1.23,1.32
1990-11-23,7.03,1.25,1.32
1990-11-26,7.03,1.24,1.32
1990-11-27,7.04,1.24,1.32
1990-11-28,7.06,1.24,1.32
1990-11-29,7.03,1.29,1.32
1990-11-30,7.02,1.24,1.32
1990-12-01,7.02,1.24,1.38
1990-12-03,7.05,1.17,1.38
1990-12-04,7.01,1.19,1.38
1990-12-05,7.0,1.16,1.38
1990-12-06,7.0,1.18,1.38
1990-12-07,6.89,1.14,1.38
1990-12-10,6.86,1.12,1.38
1990-12-11,6.84,1.1,1.38
1990-12-12,6.79,1.12,1.38
